NY_E:New York Radio:US:31.50:-58.50:265
NY_E_CTR:New York:US:41:-77:266
ZWY:New York Radio:US:31.50:-58.50:265
NY_FSS:New York Radio:US:31.50:-58.50:265
NZAA:Auckland Control:NZ:-36:174:1040
NZCH-B:Bay Approach:NZ:-38.25:177.5:1039
NZCH-KI:Christchurch CTL:NZ:-42.5:173.5:1038
NZCH-K:Christchurch CTL:NZ:-42.5:173.5:1041
NZCH-S:Christchurch CTL:NZ:-44.5:169.5:1035
NZCH-T:Christchurch CTL:NZ:-40:174:1037
NZCM:McMurdo Radio:NZ:-73:171:1034
NZOH-K:Ohakea Control:NZ:-40:176.5:1036
NZZO:Auckland Oceanic:NZ:-40:-170:292
OAK:Oakland:US:37.9:-122.1:269
OAKX:Kabul:AF:33.9:67.6:294
OBBB:Bahrain:BH:26.2:51.15:295
OEJD:Jeddah:SA:23.9:45:296
OIIX:Tehran:IR:33.2:53.6:297
OJAC:Amman:JO:31.2:37:298
OKAC:Kuwait:KW:29.1:48.1:299
OLBB:Beirut:LB:33.8:35.7:300
OMAE:Emirates:AE:24.4:54.1:301
OOMM:Muscat:OM:21.1:58.2:302
OPKR:Karachi:PK:26.7:67.2:303
OPLR:Lahore:PK:33.4:71.6:304
ORBB:Baghdad:IQ:33.2:43.7:305
ORBS:Baghdad:IQ:33.2:43.7:305
OSDI:Damascus:SY:34.7:38.9:306
OSTT:Damascus:SY:34.7:38.9:306
OYSC:Sanaa:YE:15.7:50.8:307
PAZA:Anchorage:US:61:-175:474
PHZH:Honolulu:US:21.6:-157:267
PZGU:Guam:US:11:144:2671
GUM:Guam:US:11:144:2671
RCTP:Taipei:TW:23.67:121.39:308
TPE:Taipei:TW:25:120.7:308
RJCG:Sapporo:JP:41.61:138.37:3090
SPO:Sapporo:JP:41.61:138.37:3090
RJDG:Fukuoka:JP:31.5:128:3091
FKO:Fukuoka:JP:31.5:128:3091
RJTG_A:Tokyo ALL:JP:36:134.64:3092
RJTG:Tokyo:JP:37.85:134.64:3093
RJTG_E:Tokyo:JP:35.5:140.3:3094
RJTG_W:Tokyo:JP:35.5:134.2:3095
RORG:Naha:JP:25.5:129.25:3096
RJBG:Kobe:JP:25.5:129.25:3096
RJTG_FSS:Tokyo Radio:JP:32.54:150.21:3097
RKRR_A:Incheon:KR:34.95:126.81:310
RKRR:Incheon:KR:34.95:125:3100
RKRR_N:Incheon:KR:36.48:125.73:3101
