010010 ENJA   JAN MAYEN(NOR-NAVY) NO 7056N 00840W 0009   
014770        KONGSBERG IV        NO 5940N 00939E 0169   
014820        FERDER (LGT-H)      NO 5902N 01032E 0008   
014830 ENTO   TORP (CIV/NOR-AFB)  NO 5912N 01016E 0088   
014843 ENOA   OSEBERG           & NO 5919N 01027E 0015   
014880 ENFB   OSLO/FORNEBU        NO 5954N 01037E 0017   
014900        TRYVASSHOGDA II     NO 5959N 01041E 0529   
014940 ENRY   RYGGE (NOR-AFB)     NO 5923N 01047E 0053   
014960        HOLAND-LOKEN        NO 5948N 01128E 0135   
014970        PRESTEBAKKE         NO 5900N 01132E 0157   
014980        MAGNOR              NO 5958N 01213E 0153   
020120        RITSEM              SN 6744N 01728E 0523   
020200        KATTERJAKK          SN 6825N 01810E 0517   
020320        TORNETRASK LAKE     SN 6813N 01943E 0393   
020430        ESRANGE             SN 6756N 02104E 0341   
020440 ESNQ   KIRUNA AIRPORT      SN 6749N 02020E 0452   
020450        KIRUNA GEOFYSISKA   SN 6750N 02026E 0341   
020490 ESNG   GALLIVARE (PRIVATE) SN 6709N 02050E 0310   
020600        NAIMAKKA            SN 6841N 02132E 0403   
020860        LAINIO              SN 6746N 02221E 0317   
020960        PAJALA              SN 6713N 02324E 0168   
021040        HEMAVAN             SN 6549N 01506E 0475   
021080        KLIMPFJALL          SN 6504N 01448E 0593   
021120        VUOGGATJALME        SN 6634N 01621E 0500   
021200        KVIKKJOKK           SN 6657N 01745E 0337   
021240        ARJEPLOG            SN 6602N 01752E 0430   
021280 ESPD   GUNNARN (SWE-AFB)   SN 6501N 01741E 0281   
021363 ESKB   BARKARBY (SWE-AFB)& SN 5925N 01753E 0017   
021420 ESNJ   JOKKMOKK (SWE-AFB)  SN 6638N 01939E 0264   
021440        ABRAUR              SN 6559N 01856E 0374   
021540 ESPE   VIDSEL (SWE-AFB)    SN 6552N 02008E 0182   
021640        PALKEM              SN 6623N 02138E 0263   
021850        LULEA/KALLAX (AFB)  SN 6533N 02208E 0034   
