010010 ENJA   JAN MAYEN(NOR-NAVY) NO 7056N 00840W 0009   
031700        SHANWELL            UK 5626N 00252W 0005   
031710 EGQL   LEUCHARS RAF        UK 5623N 00252W 0012   
031740        FIFE NESS (CAPE)    UK 5618N 00235W 0006   
031760        CARTERHOUSE         UK 5522N 00231W 0308   
031850        ST. ABB'S HEAD (LH) UK 5555N 00208W 0075   
032040 EGNS   ISLE OF MAN/RONALDS UK 5405N 00438W 0017   
032070        SNAEFELL-ISLE       UK 5416N 00428W 0615   
032080        POINT OF AYRE (LH)  UK 5425N 00422W 0009   
032090        DRUMBURGH           UK 5456N 00309W 0007   
032100        ST. BEES HEAD (AUT) UK 5431N 00336W 0124   
032120        KESWICK (AUT)       UK 5437N 00309W 0081   
032130        ESKMEALS            UK 5419N 00324W 0009   
032140 EGNL   WALNEY ISL/BARROW   UK 5407N 00315W 0015   
032150        ASPATRIA            UK 5446N 00319W 0061   
032200        CARLISLE (AUT)      UK 5456N 00258W 0028   
032220 EGNC   CARLISLE            UK 5456N 00257W 0026   
032240        SPADEADAM(SAMOS)    UK 5503N 00234W 0285   
032250        SHAP (AUT)          UK 5430N 00241W 0249   
032260        WARCOP (AUT)        UK 5434N 00225W 0227   
032270        GREAT DUNSELL (AUT) UK 5441N 00227W 0847   
032290        GREAT DUN FELL      UK 5442N 00227W 0847   
032300        REDESDALE (AUT)     UK 5517N 00217W 0207   
032350        BOLT SHOPE PARK     UK 5449N 00205W 0434   
032400 EGQM   BOULMER             UK 5525N 00136W 0023   
032410        LONG FRAMLINGTON    UK 5518N 00148W 0158   
032420        BURNHOPE            UK 5449N 00143W 0244   
032433 EGNT   NEWCASTLE         & UK 5502N 00142W 0081   
032450        NEWCASTLE WX CENTRE UK 5458N 00137W 0050   
032460        NEWCASTLE WEA CNTR  UK 5459N 00136W 0047   
032490        SUNDERLAND POLYTECH UK 5454N 00123W 0056   
032570 EGXE   LEEMING RAF         UK 5418N 00132W 0040   
032610 EGXD   DISHFORTH RAF       UK 5408N 00125W 0035   
032620        TYNEMOUTH           UK 5501N 00125W 0030   
032635 EGNV   TEES-SIDE           UK 5431N 00125W 0037   
032643 EGXZ   TOPCLIFFE RAF     & UK 5412N 00123W 0028   
032660 EGXU   LINTON-ON-OUSE RAF  UK 5403N 00115W 0016   
032710        TEESMOUTH (AUX)   & UK 5438N 00108W 0012   
032810        FYLINGDALES         UK 5422N 00040W 0262   
032820        WHITBY              UK 5429N 00036W 0060   
032920        BRIDLINGTON MRSC    UK 5406N 00010W 0015   
033020 EGOV   VALLEY RAF          UK 5315N 00432W 0011   
033030        AMLWCH              UK 5323N 00422W 0114   
033050        CAPEL CURIG (AUT)   UK 5306N 00356W 0216   
033080        SNOWDON SUMMIT      UK 5304N 00405W 1070   
033120        RHYL                UK 5320N 00330W 0015   
033130        RHYL (AUT)          UK 5315N 00330W 0077   
033140        MOEL-Y-CRIO         UK 5313N 00313W 0263   
033160        CROSBY              UK 5330N 00304W 0008   
033180 EGNH   BLACKPOOL AIRPORT   UK 5346N 00302W 0010   
033210 EGNR   HAWARDEN (AUT)      UK 5310N 00259W 0010   
033220        AUGHTON             UK 5333N 00255W 0056   
033233 EGGP   LIVERPOOL AIRPORT & UK 5320N 00251W 0026   
033290        WINTER HILL         UK 5337N 00231W 0440   
033340 EGCC   MANCHESTER INTL     UK 5321N 00216W 0078   
033380        CELLARHEAD          UK 5302N 00205W 0228   
033390        SKIPTON             UK 5358N 00202W 0158   
033400        HOLME MOSS (AUT)    UK 5332N 00153W 0522   
033420        HOLME MOSS          UK 5332N 00152W 0524   
033440        BINGLEY             UK 5349N 00152W 0262   
033450        EMLEY MOOR          UK 5337N 00140W 0259   
033463 EGNM   LEEDS AND BRADFORD  UK 5352N 00139W 0208   
033470        LEEDS WEATHER CTR   UK 5348N 00133W 0047   
033540        NOTTINGHAM WX CTR   UK 5300N 00115W 0117   
033550 EGXG   CHURCH FENTON RAF   UK 5350N 00112W 0009   
033600 EGXI   FINNINGLEY RAF      UK 5329N 00100W 0017   
033723 EGYE   BARKSTON HEATH RAF& UK 5258N 00034W 0112   
033730 EGXP   SCAMPTON RAF        UK 5318N 00033W 0061   
033735 EGNJ   HUMBERSIDE          UK 5335N 00021W 0031   
033770 EGXW   WADDINGTON RAF      UK 5310N 00031W 0070   
033790 EGYD   CRANWELL RAF        UK 5302N 00030W 0067   
033840 EGXV   LECONFIELD (AUT)    UK 5352N 00026W 0006   
033850        DONNANOOK           UK 5329N 00005E 0024   
033860        NORTH COATES (AUT)  UK 5330N 00004E 0003   
033870        EASINGTON           UK 5340N 00007E 0010   
033880 EGXB   BINBROOK RAF        UK 5327N 00012W 0108   
033910 EGXC   CONINGSBY RAF       UK 5305N 00010W 0007   
033920 EGYW   WAINFLEET (AUT)     UK 5305N 00016E 0005   
033973 EGCG   STRUBBY HELIPORT  & UK 5319N 00011E 0014   
034010        PORTHDYNLLAEN       UK 5257N 00434W 0037   
034020        MYNYDD RHIW         UK 5249N 00438W 0253   
034030        NANTMOR             UK 5300N 00405W 0053   
034040        ABERDOVEY           UK 5233N 00404W 0022   
034050        ABERDARON (AUT)     UK 5247N 00444W 0095   
034053 EGOD   LLANBEDR            UK 5249N 00408W 0009   
034060        TRAWSFYNYDD         UK 5256N 00356W 0193   
034080        CYNWYD              UK 5257N 00325W 0228   
034100        LAKE VYRNWY (AUT)   UK 5245N 00328W 0360   
034110        ABERHOSAN           UK 5220N 00342W 0244   
034140 EGOS   SHAWBURY RAF        UK 5248N 00240W 0076   
034145 EGWC   COSFORD RAF         UK 5238N 00218W 0083   
034150        SHAWBURY (SAWS)     UK 5248N 00241W 0074   
034183 EGOE   TERNHILL RAF      & UK 5252N 00232W 0083   
034185 EGNX   EAST MIDLANDS       UK 5250N 00120W 0094   
034530 EGXJ   COTTESMORE RAF      UK 5244N 00039W 0138   
034610        WITTERING (AUT)     UK 5237N 00029W 0075   
034620 EGXT   WITTERING RAF       UK 5237N 00028W 0084   
034690 EGYH   HOLBEACH (AUT)    & UK 5252N 00009E 0003   
034820 EGYM   MARHAM RAF          UK 5239N 00034E 0023   
034873 EGUP   SCULTHORPE (AF MET) UK 5251N 00046E 0065   
034880        WEYBOURNE (AUT)     UK 5257N 00108E 0021   
034903 EGYR   WATTON RAF RADAR  & UK 5234N 00051E 0059   
034920 EGSH   NORWICH WEA CNTRE & UK 5238N 00119E 0018   
034950 EGYC   COLTISHALL RAF      UK 5246N 00121E 0020   
034960        HEMSBY              UK 5241N 00141E 0014   
035010        CAPEL DEWI          UK 5525N 00400W 0092   
035020 EGUC   ABERPORTH           UK 5208N 00434W 0134   
035030        TRAWSCOED (AUT)     UK 5221N 00357W 0063   
035050        SAINT HARMON        UK 5220N 00329W 0279   
035070        SENNYBRIDGE (AUT)   UK 5204N 00337W 0309   
035110        NEWCASTLE ON CLUN   UK 5226N 00307W 0215   
035200        SHOBDON             UK 5215N 00253W 0099   
035210        MADLEY              UK 5202N 00251W 0077   
035270        GREAT MALVERN       UK 5207N 00218W 0046   
035290        PERSHORE (AUT)      UK 5209N 00202W 0032   
035340 EGBB   BIRMINGHAM AIRPORT  UK 5227N 00144W 0099   
035413 EGBE   COVENTRY AIRPORT  & UK 5222N 00129W 0082   
035440        CHURCH LAWFORD(AUT) UK 5222N 00120W 0107   
035573 EGTC   CRANFIELD           UK 5204N 00037W 0111   
035600        BEDFORD (SAWS)      UK 5213N 00030W 0085   
035620 EGWZ   ALCONBURY RAF       UK 5222N 00013W 0049   
035623        BECAME STN 035620   UK 5222N 00013W 0049   
035660 EGUY   WYTON RAF           UK 5221N 00007W 0041   
035713 EGUO   OAKINGTON         & UK 5216N 00004E 0013   
035715 EGSC   CAMBRIDGE           UK 5212N 00011E 0015   
035770 EGUN   MILDENHALL RAF      UK 5222N 00029E 0010   
035773        BECAME STN 035770   UK 5222N 00029E 0010   
035830 EGUL   LAKENHEATH RAF      UK 5225N 00034E 0010   
035833        BECAME STN 035830   UK 5225N 00034E 0010   
035860 EGXH   HONINGTON RAF       UK 5220N 00046E 0054   
035900 EGUW   WATTISHAM RAF       UK 5207N 00058E 0087   
035905 EGXN   NEWTON              UK 5258N 00059W 0055   
035930        BECCLES (AUX)       UK 5226N 00137E 0022   
035953 EGVG   WOODBRIDGE RAF    & UK 5205N 00124E 0029   
035963 EGVJ   BENTWATERS RAF    & UK 5208N 00126E 0026   
035995 EGWE   HENLOW              UK 5201N 00017W 0095   
036040        MILFORD-HAVEN       UK 5142N 00503W 0037   
036050 EGOP   PEMBRY SANDS        UK 5143N 00422W 0006   
036080        PENDINE (AUT)       UK 5145N 00431W 0005   
036090        MUMBLES             UK 5134N 00359W 0035   
036095 EGFH   SWANSEA             UK 5136N 00404W 0090   
036100        PENCELLI (AUX)      UK 5155N 00319W 0160   
036130        CWMBARGOED          UK 5145N 00320W 0372   
036140        CILFYNYDD           UK 5138N 00318W 0194   
036170        STOREY ARMS         UK 5152N 00329W 0457   
036283 EGTG   FILTON (PRIVATE)  & UK 5131N 00235W 0069   
036333 EGBJ   STAVERTON (PRIVATE) UK 5154N 00210W 0029   
036383 EGDK   KEMBLE RAF        & UK 5140N 00203W 0133   
036440 EGVA   FAIRFORD RAF        UK 5141N 00147W 0087   
036470        LITTLE RISSINGTON   UK 5152N 00141W 0215   
036490 EGVN   BRIZE NORTON RAF    UK 5145N 00135W 0088   
036533 EGUD   ABINGDON RAF      & UK 5141N 00119W 0080   
036553 EGUA   UPPER HEYFORD RAF & UK 5156N 00115W 0134   
036570        BENSON (AUT)        UK 5137N 00106W 0057   
036580 EGUB   BENSON RAF          UK 5137N 00105W 0063   
036584 EGUH   HIGH WYCOMBE RAF    UK 5138N 00046W 0075   
036720 EGWU   NORTHOLT RAF        UK 5133N 00025W 0040   
036733 EGGW   LUTON AIRPORT     & UK 5152N 00022W 0160   
036740        CHENIES(AUTO)       UK 5141N 00032W 0138   
036830 EGSS   STANSTED AIRPORT    UK 5153N 00014E 0106   
036835 EGTH   HATFEILD (PRIVATE)  UK 5146N 00015W 0077   
036883 EGVT   WETHERSFIELD RAF  & UK 5158N 00030E 0098   
036913 EGMC   SOUTHEND-ON-SEA   & UK 5134N 00042E 0015   
036930        SHOEBURYNESS        UK 5133N 00051E 0003   
036940        SHOEBURYNESS (AUT)  UK 5133N 00050E 0002   
036950        THAMES TOWER (AUT)  UK 5140N 00106E 0008   
036960        WALTON-ON-NAZE      UK 5151N 00117E 0006   
037010        GAWLISH             UK 5101N 00430W 0126   
037070 EGDC   CHIVENOR RAF        UK 5105N 00409W 0008   
037100        LISCOMBE            UK 5105N 00336W 0347   
037120        TIVINGTON           UK 5112N 00332W 0083   
037150 EGFF   CARDIFF-WALES ARPT  UK 5124N 00321W 0067   
037155 EGDX   ST ATHAN RAF        UK 5124N 00326W 0050   
037170        CARDIFF WEA CENTER  UK 5129N 00311W 0009   
037243 EGGD   BRISTOL/LULSGATE  & UK 5123N 00243W 0189   
037260        BRISTOL WEA CENTER  UK 5128N 00236W 0011   
037400 EGDL   LYNEHAM RAF         UK 5130N 00159W 0156   
037430        LARKHILL            UK 5112N 00148W 0133   
037435 EGVI   GREENHAM COMMON RAF UK 5123N 00117W 0122   
037450 EGDN   NETHERAVON (ARMY)   UK 5115N 00146W 0139   
037460 EGDM   BOSCOMBE DOWN       UK 5110N 00145W 0124   
037490 EGVP   MIDDLE WALLOP       UK 5109N 00134W 0091   
037590        TEST SAMOS 03761    UK 5115N 00057W 0123   
037610 EGVO   ODIHAM RAF          UK 5114N 00057W 0123   
037630 EGRR   BRACKNELL/BEAUFORT  UK 5123N 00047W 0074   
037640        BRACKNELL (AUT)   & UK 5123N 00048W 0075   
037660 EGUF   FARNBOROUGH (MIL)   UK 5117N 00046W 0072   
037663 EGKB   BIGGIN HILL       & UK 5119N 00002E 0183   
037680        FARNBOROUGH (SAWS)  UK 5117N 00047W 0065   
037683 EGLC   LONDON CITY AIRPORT UK 5130N 00030W 0005   
037720 EGLL   LONDON/HEATHROW     UK 5129N 00027W 0024   
037740        CRAWLEY             UK 5105N 00013W 0144   
037760 EGKK   LONDON/GATWICK ARPT UK 5109N 00011W 0062   
037790 EGRB   LONDON WEA CENTER   UK 5130N 00007W 0039   
037810        KENLEY (AUT)        UK 5118N 00005W 0170   
037815 EGTI   LEAVESDEN           UK 5141N 00025W 0102   
037850        CHARING             UK 5112N 00047E 0091   
037860        GRAVESEND           UK 5126N 00023E 0005   
037873 EGKM   WEST MALLING      & UK 5117N 00025E 0104   
037890        JUBILEE CORNER      UK 5111N 00038E 0047   
037900        EAST MALLING (AUT)  UK 5117N 00027E 0032   
037910        SHEERNESS           UK 5127N 00045E 0025   
037930        ANVIL GREEN         UK 5112N 00101E 0139   
037960        LANGDON BAY         UK 5108N 00121E 0117   
037970 EGUM   MANSTON RAF         UK 5121N 00121E 0055   
038000        SCILLY/ST. MARY'S   UK 4955N 00617W 0045   
038030 EGHE   SCILLY,SAINT MARY'S UK 4955N 00618W 0031   
038060        GWENNAP HEAD        UK 5002N 00540W 0066   
038080        CAMBORNE            UK 5022N 00532W 0088   
038090 EGDR   CULDROSE (NAVY)     UK 5005N 00515W 0082   
038100        PENDENNIS POINT     UK 5009N 00504W 0035   
038140        LIZARD              UK 4957N 00511W 0057   
038150        LIZARD LIGHTHOUSE   UK 4958N 00512W 0060   
038170 EGDG   SAINT MAWGAN RAF    UK 5026N 00500W 0119   
038200        DAVIDSTOW MOOR      UK 5038N 00436W 0291   
038230        CARDINHAM (AUT)     UK 5030N 00440W 0200   
038240        BASTREET            UK 5034N 00429W 0233   
038270 EGDB   PLYMOUTH/MOUNTBATTE UK 5021N 00407W 0027   
038273 EGHD   PLYMOUTH/ROBOROUGH  UK 5025N 00407W 0025   
038300        BURRINGTON          UK 5056N 00359W 0199   
038310        NORTH HESSARY TOR   UK 5033N 00400W 0510   
038370        BRIXHAM             UK 5024N 00329W 0003   
038390 EGTE   EXETER AIRPORT      UK 5044N 00325W 0030   
038400        DUNKESWELL AIRPORT  UK 5052N 00314W 0255   
038410        TEMP FOR 03840      UK 5052N 00315W 0255   
038530 EGDY   YEOVILTON (NAVY)    UK 5100N 00238W 0023   
038550        PORTLAND BILL C.G.  UK 5031N 00226W 0053   
038560        PORTLAND BILL (LH)  UK 5031N 00227W 0011   
038570        ISLE OF PORTLAND    UK 5031N 00228W 0053   
038580 EGDP   PORTLAND HELIPORT   UK 5034N 00227W 0003   
038620 EGHH   BOURNEMOUTH AIRPORT UK 5047N 00150W 0011   
038650 EGHI   SOUTHAMPTON WX CNTR UK 5054N 00124W 0009   
038660        ST. CATHERINE'S PT. UK 5035N 00118W 0016   
038670 EGUS   LEE-ON-SOLENT(NAVY) UK 5049N 00113W 0010   
038683 EGHN   SANDOWN/WIGHT ISLE& UK 5039N 00109W 0018   
038720        THORNEY ISLAND(AUT) UK 5049N 00055W 0004   
038730        TOTLAND             UK 5041N 00132W 0020   
038740        SOLENT M.R.S.C.     UK 5048N 00113W 0009   
038750        WELLOW (AUX)        UK 5041N 00127W 0025   
038760 EGKA   SHOREHAM-BY-SEA     UK 5050N 00017W 0002   
038770        EAST HOATHLY        UK 5055N 00009E 0038   
038800        NEWHAVEN (LGT-H)    UK 5047N 00003E 0005   
038810        BREDE RIVER         UK 5056N 00036E 0082   
038820        HERSTOMONCEUX WEST  UK 5054N 00019E 0054   
038830        EASTBOURNE          UK 5047N 00018E 0003   
038873 EGMD   LYDD AIRPORT      & UK 5057N 00056E 0003   
038915 EGJA   ALDERNEY/CHANNEL IS UK 4943N 00212W 0071   
038940 EGJB   GUERNSEY AIRPORT    UK 4926N 00236W 0102   
038950 EGJJ   JERSEY AIRPORT      UK 4913N 00212W 0084   
038960        SAINT HELIER        UK 4912N 00206W 0054   
039000        KNOCKAREVAN         UK 5425N 00805W 0050   
039020        CORGARY             UK 5426N 00803W 0145   
039030        SAINT ANGELO (AUT)  UK 5424N 00739W 0047   
039050        CARRIGANS           UK 5440N 00719W 0113   
039060        CARMONEY            UK 5501N 00714W 0073   
039083 EGQB   BALLYKELLY        & UK 5504N 00701W 0002   
039084 EGAE   EGLINTON/LONDONDERR UK 5503N 00709W 0009   
039110        LOUGH SEA           UK 5443N 00649W 0225   
039120        MOYOLA(AUX)         UK 5443N 00631W 0017   
039140        PORTRUSH            UK 5512N 00640W 0018   
039150        PORTGLENONE         UK 5452N 00627W 0064   
039155 EGXF   COWDEN              UK 5351N 00606W 0015   
039160        BALLYPATRICK FOREST UK 5511N 00610W 0156   
039170 EGAA   BELFAST/ALDERGROVE  UK 5439N 00613W 0081   
039200        HILLSBOROUGH        UK 5448N 00610W 0038   
039230        GLENANNE (AUT)      UK 5414N 00630W 0161   
039240 EGAC   BELFAST HARBOUR     UK 5436N 00553W 0005   
039250        ORLOCK HEAD         UK 5440N 00535W 0034   
039260        KILLOUGH            UK 5414N 00537W 0018   
039270        BANGOR HARBOR       UK 5440N 00540W 0011   
039280        LARNE/LATHARNA      UK 5451N 00548W 0003   
039520        ROCHES POINT        IE 5148N 00815W 0041   
039530        VALENTIA OBSERVATOR IE 5156N 01015W 0014   
039550 EICK   CORK ARPT/CORCAIGH  IE 5151N 00829W 0162   
039570        ROSSLARE/ROS LAIR   IE 5215N 00620W 0025   
039600        KILKENNY            IE 5240N 00716W 0064   
039620 EINN   SHANNON AIRPORT     IE 5242N 00855W 0020   
039640        GALWAY/GAILLIMH     IE 5317N 00901W 0021   
039650        BIRR/BIORRA         IE 5305N 00753W 0072   
039670 EIME   CASEMENT (MIL)      IE 5318N 00626W 0093   
039690 EIDW   DUBLIN AIRPORT      IE 5326N 00615W 0085   
039700        CLAREMORRIS         IE 5343N 00859W 0069   
039710        MULLINGAR           IE 5332N 00722W 0104   
039740        CLONES/CLUAN EOIS   IE 5411N 00714W 0089   
039760        BELMULLET PENINSULA IE 5414N 01000W 0010   
039800        MALIN HEAD          IE 5522N 00720W 0025   
040040        GUFUSKALAR          IL 6454N 02356W 0009   
040050        BOLUNGAVIK          IL 6610N 02315W 0022   
040070        HOLAR I DYRAFIRDI   IL 6552N 02336W 0030   
040130 BIST   STYKKISHOLMUR       IL 6505N 02244W 0008   
040140        REYKJANESVITI (LH)  IL 6349N 02243W 0026   
040180 BIKF   KEFLAVIK (CIV/MIL)  IL 6358N 02236W 0054   
040184 KQNT   KEFLAVIK (NWSED)    IL 6359N 02236W 0052   
040230        HORNBJARGSVITI (LH) IL 6625N 02223W 0027   
040300 BIRK   REYKJAVIK (NOTAM)   IL 6408N 02154W 0061   
040340        HAMRAENDAR          IL 6440N 02136W 0046   
040380        EYRARBAKKI          IL 6352N 02109W 0005   
040410        TANNSTADABAKKI      IL 6517N 02106W 0008   
040450        BLONDUOS            IL 6540N 02018W 0022   
040480 BIVM   VESTMANNAEYJAR (LH) IL 6324N 02017W 0124   
040530        BERGSTADIR          IL 6542N 01937W 0046   
040560        HVERAVELLIR         IL 6452N 01934W 0642   
040580        VATNSSKARDSHOLAR LH IL 6325N 01911W 0020   
040620        NORDURHJALEIGA      IL 6330N 01823W 0018   
040630 BIAR   AKUREYRI            IL 6541N 01805W 0027   
040640        KIRKJUBAEJARKLAUSTU IL 6347N 01804W 0038   
040650 BIGR   GRIMSEY ISLAND      IL 6632N 01801W 0016   
040690        STADARHOLL          IL 6549N 01712W 0042   
040730        GRIMSSTADIR         IL 6538N 01607W 0386   
040770 BIRG   RAUFARHOFN          IL 6627N 01557W 0010   
040810        SAUDANES            IL 6615N 01516W 0017   
040820 BIHN   HJARDARNES/HORNAFJO IL 6415N 01511W 0010   
040850 BIVO   SKJALDTHINGSSTADIR  IL 6545N 01450W 0048   
040870        STRANDHOFN          IL 6554N 01439W 0020   
040890 BIEG   EGILSSTADIR         IL 6517N 01422W 0038   
040910        REYDARFJORDUR       IL 6502N 01414W 0025   
040970        DALATANGI (LGT-H)   IL 6516N 01335W 0011   
041100        NAVY OPERATED(AMOS) GL 7217N 03848W 3195   
041150        NAVY OPERATED(AMOS) GL 7235N 03846W 3213   
041650        DYE 2 (SEA BASS)    GL 6629N 04617W 2330   
041750        DYE 3 (SOB STORY)   GL 6511N 04350W 2647   
042003 BGDU   DUNDAS            & GL 7630N 06900W 0020   
042020 BGTL   THULE AB            GL 7632N 06830W 0059   
042030        CAREY ISLAND (AUT)  GL 7638N 07300W 0011   
042070        HALL LAND (AUT)     GL 8144N 05900W 0105   
042080        EDDERFUGLE OER(AUT) GL 7402N 05749W 0040   
042090 BGUP   UPERNAVIK AWS (AUT) GL 7247N 05610W 0063   
042140        NUGSSUAQ PENINSULA  GL 7041N 05437W 0027   
042173 BGCH   CHRISTIANHAB(PORT)& GL 6845N 05130W 0076   
042183 BGGN   GODHAVN (PORT)    & GL 6920N 05335W 0024   
042200 BGEM   EGEDESMINDE/AUSIAT  GL 6842N 05245W 0047   
042210 BGJN   JAKOBSHAVN (PORT) & GL 6915N 05104W 0025   
042280        AGTO KITSIGSSUT AUT GL 6747N 05358W 0012   
042300 BGHB   HOLSTEINSBORG       GL 6655N 05340W 0009   
042310 BGSF   SONDRE STROMFJORD   GL 6700N 05048W 0053   
042350        DYE 1 (RED RIVER)   GL 6638N 05252W 1453   
042403 BGST   SUKKERTOPPEN      & GL 6525N 05300W 0024   
